index,model,selected_fraction,selected_rows_mean,selected_rows_std,precision_in_selected_mean,precision_in_selected_std,recall_of_true_top25_mean,recall_of_true_top25_std,f1_selected_mean,f1_selected_std,baseline_positive_rate_test_mean,baseline_positive_rate_test_std
0,catboost_small_regularized,0.1,37.6,0.5477225575051667,0.8621621621621621,0.04201241155705168,0.37138640331844347,0.0302815904008545,0.5186723423653345,0.033412815375229846,0.23483238064017714,0.015298888549094562
1,catboost_small_regularized,0.15,56.4,0.547722557505166,0.8510025062656641,0.02425326019106594,0.5493458251963532,0.02851925558706299,0.667161117746958,0.020655095150117684,0.23483238064017714,0.015298888549094562
2,catboost_small_regularized,0.2,75.0,1.0000000000000004,0.7840075865339023,0.049400743633865866,0.6716005509507946,0.019431603342310054,0.7228416011713046,0.02612127912560956,0.23483238064017714,0.015298888549094562
3,catboost_small_regularized,0.25,93.8,1.3038404810405295,0.6951352501692296,0.06241232184242443,0.7433588580333615,0.021990443338269394,0.7178151169285693,0.043878139040700495,0.23483238064017714,0.015298888549094562
4,catboost_small_regularized,0.3,112.4,1.516575088810311,0.6207986181670393,0.053898304279611356,0.7958559490123209,0.026180149043949143,0.6969658191825374,0.04343286701385618,0.23483238064017714,0.015298888549094562
5,extra_trees_depth4_leaf5,0.1,37.6,0.5477225575051667,0.7450924608819346,0.04920047143845551,0.32044478517773545,0.021799261001453907,0.44776143666925095,0.02664274206979604,0.23483238064017714,0.015298888549094562
6,extra_trees_depth4_leaf5,0.15,56.4,0.547722557505166,0.712907268170426,0.027227356916200696,0.46045960524399526,0.031687983214760296,0.5590865900863948,0.027573840784980166,0.23483238064017714,0.015298888549094562
7,extra_trees_depth4_leaf5,0.2,75.0,1.0000000000000004,0.6536766239924134,0.039588175021472105,0.5608900156479438,0.0374822072733196,0.6032111857984743,0.033326582392348134,0.23483238064017714,0.015298888549094562
8,extra_trees_depth4_leaf5,0.25,93.8,1.3038404810405295,0.5952535930856954,0.04513972807345776,0.6387754781098941,0.05162801210315112,0.6156711337721231,0.043387207671292685,0.23483238064017714,0.015298888549094562
9,extra_trees_depth4_leaf5,0.3,112.4,1.516575088810311,0.5411882747409062,0.03634104570752109,0.6958799497129519,0.05000888274423707,0.6083665158371041,0.037616157957455806,0.23483238064017714,0.015298888549094562
10,hist_gradient_boosting_l2,0.1,37.6,0.5477225575051667,0.8884779516358463,0.03429242023436977,0.38250404726469583,0.025792893639109242,0.5342853240413029,0.025976430741828132,0.23483238064017714,0.015298888549094562
11,hist_gradient_boosting_l2,0.15,56.4,0.547722557505166,0.843859649122807,0.03703280505100401,0.544217620068148,0.020662050240164095,0.6611909684932267,0.01775398214930025,0.23483238064017714,0.015298888549094562
12,hist_gradient_boosting_l2,0.2,75.0,1.0000000000000004,0.7893067804646752,0.054551914200620354,0.6757368403215717,0.012405535847372659,0.7275047581863422,0.027989025659623617,0.23483238064017714,0.015298888549094562
13,hist_gradient_boosting_l2,0.25,93.8,1.3038404810405295,0.7015873604215845,0.06658810169163124,0.7501853142401502,0.02787437401781897,0.7244355851602415,0.04815744655393525,0.23483238064017714,0.015298888549094562
14,hist_gradient_boosting_l2,0.3,112.4,1.516575088810311,0.619107735555104,0.0600953771598897,0.7934451031531992,0.03815081618418422,0.6949793914375958,0.05161657653360775,0.23483238064017714,0.015298888549094562
15,lightgbm_small_regularized,0.1,37.6,0.5477225575051667,0.8883357041251779,0.028938716941762328,0.3832574018071969,0.03819921751683842,0.5349769695605346,0.04081542001155909,0.23483238064017714,0.015298888549094562
16,lightgbm_small_regularized,0.15,56.4,0.547722557505166,0.8510025062656641,0.02425326019106594,0.5493458251963532,0.02851925558706299,0.667161117746958,0.020655095150117684,0.23483238064017714,0.015298888549094562
17,lightgbm_small_regularized,0.2,75.0,1.0000000000000004,0.7839013750592698,0.05568292844931099,0.6710445765243922,0.011434642810009584,0.722479116709217,0.02834800324506793,0.23483238064017714,0.015298888549094562
18,lightgbm_small_regularized,0.25,93.8,1.3038404810405295,0.7036926235794793,0.06350014927389029,0.7525020991101267,0.021698835495086277,0.7266435073681636,0.04437031900235363,0.23483238064017714,0.015298888549094562
19,lightgbm_small_regularized,0.3,112.4,1.516575088810311,0.6226317482896431,0.05154128218873741,0.7984966799289138,0.027676686324050532,0.6991305000469087,0.04147351907298711,0.23483238064017714,0.015298888549094562
20,logistic_C0.2_l1_balanced,0.1,37.6,0.5477225575051667,0.8937411095305832,0.03182182050909825,0.3856508150296637,0.03917314365803866,0.5382974729818445,0.04239540419735623,0.23483238064017714,0.015298888549094562
21,logistic_C0.2_l1_balanced,0.15,56.4,0.547722557505166,0.8723684210526315,0.022774633429866128,0.5638063966968316,0.04222629549208859,0.6843932535497872,0.03484848301892141,0.23483238064017714,0.015298888549094562
22,logistic_C0.2_l1_balanced,0.2,75.0,1.0000000000000004,0.79200853485064,0.043670393981995466,0.6785482605798003,0.010570935798204692,0.7302671804243138,0.016630333864506238,0.23483238064017714,0.015298888549094562
23,logistic_C0.2_l1_balanced,0.25,93.8,1.3038404810405295,0.7250159544365374,0.03853504071585479,0.7771245182192613,0.022506487055781847,0.7494711462256112,0.020329214020528355,0.23483238064017714,0.015298888549094562
24,logistic_C0.2_l1_balanced,0.3,112.4,1.516575088810311,0.6458172458172459,0.04357045817380116,0.8286643417044794,0.012850103820057279,0.7253298308158989,0.030773856086461097,0.23483238064017714,0.015298888549094562
25,logistic_C0.2_l2_balanced,0.1,37.6,0.5477225575051667,0.9152204836415363,0.03870661671628262,0.39457170720131635,0.03612283738347436,0.5509027888129667,0.039261911201280475,0.23483238064017714,0.015298888549094562
26,logistic_C0.2_l2_balanced,0.15,56.4,0.547722557505166,0.8723684210526315,0.022774633429866128,0.5638063966968316,0.04222629549208859,0.6843932535497872,0.03484848301892141,0.23483238064017714,0.015298888549094562
27,logistic_C0.2_l2_balanced,0.2,75.0,1.0000000000000004,0.8108544333807493,0.034458465930846956,0.6956745317858857,0.03439581143972107,0.7481919777694677,0.023722672368174873,0.23483238064017714,0.015298888549094562
28,logistic_C0.2_l2_balanced,0.25,93.8,1.3038404810405295,0.7207835133475419,0.047016628224799434,0.7719201863971745,0.013878507225423858,0.7448081443533069,0.027630059248249055,0.23483238064017714,0.015298888549094562
29,logistic_C0.2_l2_balanced,0.3,112.4,1.516575088810311,0.6368878276773013,0.047820449608151565,0.8168624354158578,0.01637970526986859,0.7151760255568306,0.03595021577012022,0.23483238064017714,0.015298888549094562
30,logistic_C0.75_l2_unweighted,0.1,37.6,0.5477225575051667,0.9150782361308677,0.03917169477828116,0.39449507884882595,0.03601522104963064,0.5508019823613539,0.039170230683745776,0.23483238064017714,0.015298888549094562
31,logistic_C0.75_l2_unweighted,0.15,56.4,0.547722557505166,0.8866541353383459,0.040411348078678286,0.5725815683158623,0.03947818761106938,0.6952784465862926,0.03635164497396507,0.23483238064017714,0.015298888549094562
32,logistic_C0.75_l2_unweighted,0.2,75.0,1.0000000000000004,0.8108553816974868,0.051805570366579394,0.6948782741591071,0.029881308074483675,0.7477439354479468,0.031908373693086016,0.23483238064017714,0.015298888549094562
33,logistic_C0.75_l2_unweighted,0.25,93.8,1.3038404810405295,0.7207835133475419,0.04875211088536159,0.7718256237494204,0.01387955900233327,0.7447623843075469,0.029136733554668923,0.23483238064017714,0.015298888549094562
34,logistic_C0.75_l2_unweighted,0.3,112.4,1.516575088810311,0.6298855246223668,0.03577104534897078,0.8088214637172241,0.02056696759060829,0.7076580450852896,0.024284525195395076,0.23483238064017714,0.015298888549094562
35,logistic_C1.25_l2_unweighted,0.1,37.6,0.5477225575051667,0.9150782361308677,0.03917169477828116,0.39449507884882595,0.03601522104963064,0.5508019823613539,0.039170230683745776,0.23483238064017714,0.015298888549094562
36,logistic_C1.25_l2_unweighted,0.15,56.4,0.547722557505166,0.8901002506265664,0.04237287127513452,0.57436734754845,0.03190713737160263,0.6976634670173176,0.02997865328720943,0.23483238064017714,0.015298888549094562
37,logistic_C1.25_l2_unweighted,0.2,75.0,1.0000000000000004,0.805521100047416,0.04659836254118475,0.690503423573403,0.02956162193447809,0.7429370065414149,0.028403204963136933,0.23483238064017714,0.015298888549094562
38,logistic_C1.25_l2_unweighted,0.25,93.8,1.3038404810405295,0.7207148634619582,0.049704497715715834,0.7717060923126525,0.014207531458905886,0.7446688416725677,0.03000901906541749,0.23483238064017714,0.015298888549094562
39,logistic_C1.25_l2_unweighted,0.3,112.4,1.516575088810311,0.6280684820158504,0.044935300273131196,0.805820918163487,0.01990667604192188,0.7053705956925771,0.03375822614735861,0.23483238064017714,0.015298888549094562
40,logistic_C1_l2_balanced,0.1,37.6,0.5477225575051667,0.9204836415362732,0.04905064624466512,0.39723037241317305,0.043376136857206954,0.5544457616447327,0.0490267122271349,0.23483238064017714,0.015298888549094562
41,logistic_C1_l2_balanced,0.15,56.4,0.547722557505166,0.8864661654135337,0.024143751282691455,0.5722658770898361,0.03000106281755657,0.6949831040901866,0.021518499740807155,0.23483238064017714,0.015298888549094562
42,logistic_C1_l2_balanced,0.2,75.0,1.0000000000000004,0.8053788525367473,0.03796967931372741,0.6904018264318988,0.019710420735110284,0.7428178238700978,0.014758816107380328,0.23483238064017714,0.015298888549094562
43,logistic_C1_l2_balanced,0.25,93.8,1.3038404810405295,0.7184956759419662,0.048066899031420154,0.7693822729489261,0.010995488013700939,0.7423988368611265,0.02781866551535047,0.23483238064017714,0.015298888549094562
44,logistic_C1_l2_balanced,0.3,112.4,1.516575088810311,0.6280210661789609,0.043615874126605336,0.8057442898109966,0.013226808036057903,0.7053111779861005,0.03133637481492752,0.23483238064017714,0.015298888549094562
45,logistic_C1_l2_unweighted,0.1,37.6,0.5477225575051667,0.9150782361308677,0.03917169477828116,0.39449507884882595,0.03601522104963064,0.5508019823613539,0.039170230683745776,0.23483238064017714,0.015298888549094562
46,logistic_C1_l2_unweighted,0.15,56.4,0.547722557505166,0.8901629072681704,0.04201827450485832,0.5748037905380845,0.03937458685956882,0.6979995350216667,0.03672783415708172,0.23483238064017714,0.015298888549094562
47,logistic_C1_l2_unweighted,0.2,75.0,1.0000000000000004,0.8134869606448554,0.049037168591464786,0.6971004963813293,0.025246702505627525,0.7501535740021638,0.027428162263109613,0.23483238064017714,0.015298888549094562
48,logistic_C1_l2_unweighted,0.25,93.8,1.3038404810405295,0.7207835133475419,0.04875211088536159,0.7718256237494204,0.01387955900233327,0.7447623843075469,0.029136733554668923,0.23483238064017714,0.015298888549094562
49,logistic_C1_l2_unweighted,0.3,112.4,1.516575088810311,0.6298541963015648,0.04126195531890334,0.8083850207275896,0.018946297080615952,0.7074758588504718,0.029735580120336464,0.23483238064017714,0.015298888549094562
50,logistic_C3_l2_balanced,0.1,37.6,0.5477225575051667,0.9098150782361308,0.047820875526579855,0.39236741927435786,0.03937953917734941,0.5477716793310508,0.0443292697529827,0.23483238064017714,0.015298888549094562
51,logistic_C3_l2_balanced,0.15,56.4,0.547722557505166,0.8900375939849624,0.026632758111475134,0.574418505453318,0.02727727659198815,0.6976696429669842,0.01866289926580102,0.23483238064017714,0.015298888549094562
52,logistic_C3_l2_balanced,0.2,75.0,1.0000000000000004,0.8054148885727834,0.04443126606181625,0.6902827966537398,0.02337610660251595,0.7427750985321944,0.023776968153914894,0.23483238064017714,0.015298888549094562
53,logistic_C3_l2_balanced,0.25,93.8,1.3038404810405295,0.7206686099929481,0.042050982161689614,0.7721175665132732,0.015649013518079787,0.7448302383622953,0.02264997277421556,0.23483238064017714,0.015298888549094562
54,logistic_C3_l2_balanced,0.3,112.4,1.516575088810311,0.6261718485402696,0.04275791816465725,0.8034204704472702,0.012292623437936433,0.703251760279624,0.030325608935317463,0.23483238064017714,0.015298888549094562
55,random_forest_depth4_leaf5,0.1,37.6,0.5477225575051667,0.845945945945946,0.027909164596016823,0.3641050681681478,0.021505692236766846,0.5086281534557398,0.020082936272098378,0.23483238064017714,0.015298888549094562
56,random_forest_depth4_leaf5,0.15,56.4,0.547722557505166,0.7980576441102757,0.0486858636014075,0.5149036896497472,0.0334670597657692,0.6254675596346714,0.03485429566599579,0.23483238064017714,0.015298888549094562
57,random_forest_depth4_leaf5,0.2,75.0,1.0000000000000004,0.7067349454717876,0.06416337797206012,0.6045386463489294,0.024633260950539495,0.6511030781604158,0.040059055781294345,0.23483238064017714,0.015298888549094562
58,random_forest_depth4_leaf5,0.25,93.8,1.3038404810405295,0.6356640160575711,0.04818312726259921,0.6808546473068718,0.03123579059638955,0.6568947251614603,0.036038186206677925,0.23483238064017714,0.015298888549094562
59,random_forest_depth4_leaf5,0.3,112.4,1.516575088810311,0.6085500914448283,0.05215618087382573,0.7801822866740802,0.027262921450816192,0.683235844994359,0.04271390662938335,0.23483238064017714,0.015298888549094562
60,xgboost_small_regularized,0.1,37.6,0.5477225575051667,0.872688477951636,0.046641676811136096,0.37524818256202264,0.019560322721194266,0.5243584692868619,0.021290206503025454,0.23483238064017714,0.015298888549094562
61,xgboost_small_regularized,0.15,56.4,0.547722557505166,0.843796992481203,0.03927402063616988,0.5441926512791343,0.02273087091781757,0.6611534362389456,0.020920450133925492,0.23483238064017714,0.015298888549094562
62,xgboost_small_regularized,0.2,75.0,1.0000000000000004,0.7839374110953059,0.06377773972300142,0.6707276649715256,0.017662181943175027,0.7223187253543111,0.03636913437497632,0.23483238064017714,0.015298888549094562
63,xgboost_small_regularized,0.25,93.8,1.3038404810405295,0.7036473491029653,0.06545349578008734,0.7523309081098821,0.0224159183826539,0.7265376872623436,0.04599177681906666,0.23483238064017714,0.015298888549094562
64,xgboost_small_regularized,0.3,112.4,1.516575088810311,0.6190603197182145,0.058451763575638145,0.7933684748007087,0.03329158811761982,0.6949199737311192,0.04908116843597457,0.23483238064017714,0.015298888549094562
